[2023/10/25:16:16:55] 10.10.132.238 ajax.aspnetcdn.com:443 GET / 301 551 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:57] 10.10.116.67 login.live.com:443 GET /login.srf?wa=wsignin1.0&rpsnv=16&checkda=1&ct=1698250616&rver=7.3.6960.0&wp=MBI_SSL&wreply=https%3A%2F%2Fsignup.live.com%2F%3Flic%3D1&lc=1033&id=68692&mkt=en-US&uaid=1e77d526bc444e5fb7ea6f2a3c046d2b 302 1411 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:57] 10.10.75.132 becws.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:57] 10.10.75.132 becws.microsoftonline.com:443 GET / 403 1742 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:57] 10.10.132.238 autologon.microsoftazuread-sso.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:57] 10.10.132.238 autologon.microsoftazuread-sso.com:443 GET / 404 834 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:57] 10.10.116.67 signup.live.com:443 GET /?lic=1 200 64049 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:57] 10.10.75.132 support.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.75.132 support.microsoft.com:443 GET / 301 704 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.75.132 support.microsoft.com:443 GET /en-US 200 24911 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.116.67 c1.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.116.67 c1.microsoft.com:443 GET / 302 795 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.116.67 c.bing.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.116.67 c.bing.com:443 GET /c.gif?ctsa=mr&CtsSyncId=A2963C827A784FDE93A03017D6E758B6&RedC=c1.microsoft.com&MXFR=17C85F9F0B4B600E2E774C2A0F4B6665 302 1372 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.116.67 c1.microsoft.com:443 GET /c.gif?ctsa=mr&CtsSyncId=A2963C827A784FDE93A03017D6E758B6&MUID=1910C855008164C41BB8DBE001FE6526 200 1189 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.75.132 appex.bing.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.75.132 appex.bing.com:443 GET / 301 556 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.75.132 www.bing.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.132.238 smtp.office365.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.75.132 www.bing.com:443 GET / 200 42414 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.132.238 smtp.office365.com:443 GET / 301 716 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.132.238 smtp.office365.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.132.238 smtp.office365.com:443 GET /owa/ 302 7472 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.132.238 login.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:58] 10.10.75.132 officeclient.microsoft.com:80 GET / 404 834 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:58] 10.10.132.238 login.microsoftonline.com:443 GET /common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3A%2F%2Fsmtp.office365.com%2Fowa%2F&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=3903800c-25b8-1204-78bd-a63919e7a028&protectedtoken=true&claims=%7B%22id_token%22%3A%7B%22xms_cc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&nonce=638338474186246862.2fc17cc5-c0cf-4b0d-beae-8b388d1ee9b8&state=Dcs7FoAwCABBos_jYD5ggscJBFtLry_FTrcJAPZoi1IJYHQSIuHBVXrjHpztsTrMLrRiD7KWherTUZREVnW_VVK8R36_mX8 200 9598 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.116.67 docs.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:59] 10.10.116.67 docs.microsoft.com:443 GET / 301 711 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.116.67 learn.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:59] 10.10.75.132 c.bing.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:59] 10.10.75.132 c.bing.com:443 GET / 403 2222 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.116.67 learn.microsoft.com:443 GET / 301 1016 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.116.67 learn.microsoft.com:443 GET /en-us/ 200 10983 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.75.132 ocsp.globalsign.com:80 GET / 301 640 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.75.132 www.globalsign.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:59] 10.10.132.238 becws.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:59] 10.10.75.132 www.globalsign.com:443 GET / 302 730 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.132.238 becws.microsoftonline.com:443 GET / 403 1742 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.75.132 www.globalsign.com:443 GET /en/ 301 868 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.75.132 www.globalsign.com:443 GET /en 200 14998 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:59] 10.10.116.67 becws.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:59] 10.10.116.67 becws.microsoftonline.com:443 GET / 403 1742 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 technet.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.116.67 technet.microsoft.com:443 GET / 301 794 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 learn.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.75.132 eus-www.sway-cdn.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.116.67 learn.microsoft.com:443 GET / 301 1016 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 learn.microsoft.com:443 GET /en-us/ 200 10983 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.75.132 eus-www.sway-cdn.com:443 GET / 200 21021 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 stackoverflow.com:80 GET / 301 726 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 stackoverflow.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.116.67 stackoverflow.com:443 GET / 200 48704 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.132.238 platform.linkedin.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.116.67 outlook.office365.com:80 GET / 301 642 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 outlook.office365.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.116.67 outlook.office365.com:443 GET / 302 707 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:00] 10.10.116.67 outlook.office365.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:00] 10.10.116.67 outlook.office365.com:443 GET /owa/ 302 7518 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.120.75 partnerservices.getmicrosoftkey.com:80 GET / 503 4249 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.116.67 login.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:01] 10.10.116.67 login.microsoftonline.com:443 GET /common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3A%2F%2Foutlook.office365.com%2Fowa%2F&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=954b5382-ff1f-a26f-0835-ce1f0c5a7a3b&protectedtoken=true&claims=%7B%22id_token%22%3A%7B%22xms_cc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&nonce=638338474209383909.1b9eb153-1f57-457d-9d88-888de83ae6a7&state=DYtBEoAgDMSKjM-pgAW6fQ4MePXo9-0hmVwSiCg6hxOyi7QLRFC13tk8LdtVpu1ZmnB5mnJtutgWwADWhozdhwZ_z_R-I_0 200 9608 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.75.132 www.microsoft365.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:01] 10.10.75.132 www.microsoft365.com:443 GET / 200 42375 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.132.238 platform.linkedin.com:443 GET / 404 6237 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.116.67 support.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:01] 10.10.120.75 ocsp.msocsp.com:80 GET / 200 527 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.116.67 support.microsoft.com:443 GET / 301 704 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.116.67 support.microsoft.com:443 GET /en-US 200 24923 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.75.132 api.passwordreset.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:01] 10.10.132.238 c.live.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:01] 10.10.132.238 c.live.com:443 GET / 302 778 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.132.238 c.bing.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:01] 10.10.75.132 api.passwordreset.microsoftonline.com:443 GET / 200 53070 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.132.238 c.bing.com:443 GET /c.gif?ctsa=mr&CtsSyncId=E00303D0BD7345A4BA7C800B5A5FB07D&RedC=c.live.com&MXFR=2F1A6239690B638E05B9718C6D0B6768 302 1366 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:01] 10.10.132.238 c.live.com:443 GET /c.gif?ctsa=mr&CtsSyncId=E00303D0BD7345A4BA7C800B5A5FB07D&MUID=1B35ACA655536871282DBF13541E69F4 200 1160 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.120.75 officepreviewredir.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.120.75 officepreviewredir.microsoft.com:443 GET / 302 751 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.132.238 portal.cloudappsecurity.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.120.75 www.office.com:80 GET / 302 481 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.116.67 ocsp.msocsp.com:80 GET / 200 527 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.132.238 portal.cloudappsecurity.com:443 GET / 200 5062 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.120.75 www.office.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.120.75 www.office.com:443 GET / 200 42402 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.116.67 platform.linkedin.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.75.132 ocspx.digicert.com:80 GET / 200 913 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.132.238 provisioningapi.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.132.238 provisioningapi.microsoftonline.com:443 GET / 403 1843 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.116.67 platform.linkedin.com:443 GET / 404 6505 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.120.75 www.bing.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.120.75 www.bing.com:443 GET / 200 42400 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.132.238 r.office.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:02] 10.10.132.238 r.office.microsoft.com:443 GET / 302 751 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.132.238 www.office.com:80 GET / 302 481 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:02] 10.10.132.238 www.office.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:03] 10.10.132.238 www.office.com:443 GET / 200 42393 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.120.75 appsforoffice.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:03] 10.10.116.67 msdn.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:03] 10.10.75.132 platform.linkedin.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:03] 10.10.116.67 msdn.microsoft.com:443 GET / 301 795 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.116.67 learn.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:03] 10.10.116.67 learn.microsoft.com:443 GET / 301 1016 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.116.67 learn.microsoft.com:443 GET /en-us/ 200 10983 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.132.238 ocsp.globalsign.com:80 GET / 301 640 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.132.238 www.globalsign.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:03] 10.10.132.238 www.globalsign.com:443 GET / 302 730 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.132.238 www.globalsign.com:443 GET /en/ 301 868 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.132.238 www.globalsign.com:443 GET /en 200 14998 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.116.67 stackoverflow.com:80 GET / 301 726 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:03] 10.10.116.67 stackoverflow.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:04] 10.10.75.132 platform.linkedin.com:443 GET / 404 6237 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.116.67 stackoverflow.com:443 GET / 200 48677 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.120.75 appsforoffice.microsoft.com:443 GET / 302 561 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.120.75 www.office.com:80 GET / 302 481 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.120.75 www.office.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:04] 10.10.120.75 www.office.com:443 GET / 200 42379 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.132.238 github.com:80 GET / 301 270 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.116.67 graph.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:04] 10.10.116.67 graph.microsoft.com:443 GET / 301 581 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.132.238 github.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:04] 10.10.116.67 developer.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:04] 10.10.116.67 developer.microsoft.com:443 GET /graph 301 815 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.132.238 github.com:443 GET / 200 46754 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.116.67 developer.microsoft.com:443 GET /en-us/graph 200 21237 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:04] 10.10.75.132 cdn.odc.officeapps.live.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:17:05] 10.10.75.132 cdn.odc.officeapps.live.com:443 GET / 302 939 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:05] 10.10.75.132 www.office.com:80 GET / 302 481 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:17:05] 10.10.75.132 www.office.com:443 CONNECT - 200 0 "-"
